,FTR
2424,NH
2425,H
2426,H
2427,H
2428,H
2429,NH
2430,NH
2431,NH
2432,NH
2433,NH
2434,H
2435,H
2436,NH
2437,NH
2438,H
2439,NH
2440,H
2441,H
2442,NH
2443,H
2444,H
2445,H
2446,NH
2447,H
2448,NH
2449,H
2450,NH
2451,H
2452,H
2453,NH
2454,H
2455,NH
2456,NH
2457,H
2458,H
2459,H
2460,H
2461,NH
2462,H
2463,NH
2464,NH
2465,NH
2466,H
2467,NH
2468,NH
2469,NH
2470,H
2471,H
2472,H
2473,NH
2474,H
2475,NH
2476,H
2477,H
2478,H
2479,H
2480,H
2481,H
2482,H
2483,NH
2484,NH
2485,H
2486,H
2487,NH
2488,NH
2489,NH
2490,NH
2491,NH
2492,H
2493,NH
2494,NH
2495,H
2496,NH
2497,NH
2498,H
2499,H
2500,H
2501,NH
2502,H
2503,NH
2504,NH
2505,H
2506,H
2507,H
2508,H
2509,H
2510,NH
2511,NH
2512,NH
2513,NH
2514,NH
2515,H
2516,H
2517,NH
2518,NH
2519,NH
2520,NH
2521,H
2522,H
2523,NH
2524,NH
2525,H
2526,H
2527,NH
2528,NH
2529,H
2530,H
2531,H
2532,NH
2533,NH
2534,NH
2535,NH
2536,NH
2537,NH
2538,H
2539,H
2540,H
2541,NH
2542,H
2543,H
2544,H
2545,H
2546,NH
2547,H
2548,NH
2549,H
2550,H
2551,NH
2552,H
2553,NH
2554,NH
2555,NH
2556,NH
2557,NH
2558,NH
2559,H
2560,NH
2561,H
2562,H
2563,H
2564,H
2565,H
2566,NH
2567,H
2568,H
2569,H
2570,NH
2571,H
2572,H
2573,H
2574,H
2575,NH
2576,NH
2577,H
2578,NH
2579,NH
2580,NH
2581,H
2582,NH
2583,H
2584,H
2585,NH
2586,H
2587,H
2588,NH
2589,H
2590,NH
2591,H
2592,H
2593,NH
2594,NH
2595,NH
2596,H
2597,NH
2598,NH
2599,H
2600,NH
2601,H
2602,NH
2603,H
2604,NH
2605,NH
2606,H
2607,NH
2608,NH
2609,NH
2610,H
2611,NH
2612,NH
2613,H
2614,H
2615,NH
2616,NH
2617,NH
2618,NH
2619,H
2620,NH
2621,H
2622,NH
2623,NH
2624,H
2625,H
2626,H
2627,NH
2628,H
2629,H
2630,H
2631,H
2632,NH
2633,H
2634,H
2635,H
2636,H
2637,NH
2638,H
2639,NH
2640,H
2641,NH
2642,NH
2643,NH
2644,NH
2645,NH
2646,H
2647,NH
2648,NH
2649,NH
2650,H
2651,NH
2652,H
2653,H
2654,NH
2655,H
2656,H
2657,H
2658,H
2659,NH
2660,H
2661,NH
2662,NH
2663,NH
2664,H
2665,NH
2666,NH
2667,H
2668,H
2669,H
2670,NH
2671,H
2672,NH
2673,NH
2674,NH
2675,H
2676,NH
2677,NH
2678,NH
2679,H
2680,H
2681,H
2682,H
2683,NH
2684,H
2685,NH
2686,NH
2687,NH
2688,H
2689,NH
2690,H
2691,NH
2692,H
2693,NH
2694,NH
2695,NH
2696,H
2697,NH
2698,NH
2699,H
2700,H
2701,NH
2702,H
2703,H
2704,H
2705,H
2706,NH
2707,H
2708,H
